Source,CH1
Second,Volt
-0.00603200000,5.16000,
-0.00603120000,5.20000,
-0.00603040000,5.12000,
-0.00602960000,5.12000,
-0.00602880000,5.20000,
-0.00602800000,5.16000,
-0.00602720000,5.16000,
-0.00602640000,5.16000,
-0.00602560000,5.16000,
-0.00602480000,5.12000,
-0.00602400000,5.16000,
-0.00602320000,5.20000,
-0.00602240000,5.20000,
-0.00602160000,5.12000,
-0.00602080000,5.16000,
-0.00602000000,5.12000,
-0.00601920000,5.16000,
-0.00601840000,5.16000,
-0.00601760000,5.20000,
-0.00601680000,5.20000,
-0.00601600000,5.16000,
-0.00601520000,5.16000,
-0.00601440000,5.16000,
-0.00601360000,5.16000,
-0.00601280000,5.16000,
-0.00601200000,5.16000,
-0.00601120000,5.16000,
-0.00601040000,5.20000,
-0.00600960000,5.12000,
-0.00600880000,5.20000,
-0.00600800000,5.12000,
-0.00600720000,5.20000,
-0.00600640000,5.16000,
-0.00600560000,5.12000,
-0.00600480000,5.12000,
-0.00600400000,5.16000,
-0.00600320000,5.16000,
-0.00600240000,5.16000,
-0.00600160000,5.16000,
-0.00600080000,5.16000,
-0.00600000000,5.20000,
-0.00599920000,5.20000,
-0.00599840000,5.16000,
-0.00599760000,5.16000,
-0.00599680000,5.16000,
-0.00599600000,5.12000,
-0.00599520000,5.16000,
-0.00599440000,5.16000,
-0.00599360000,5.12000,
-0.00599280000,5.12000,
-0.00599200000,5.16000,
-0.00599120000,5.12000,
-0.00599040000,5.12000,
-0.00598960000,5.16000,
-0.00598880000,5.20000,
-0.00598800000,5.16000,
-0.00598720000,5.16000,
-0.00598640000,5.16000,
-0.00598560000,5.16000,
-0.00598480000,5.16000,
-0.00598400000,5.16000,
-0.00598320000,5.12000,
-0.00598240000,5.12000,
-0.00598160000,5.12000,
-0.00598080000,5.16000,
-0.00598000000,5.12000,
-0.00597920000,5.16000,
-0.00597840000,5.20000,
-0.00597760000,5.16000,
-0.00597680000,5.16000,
-0.00597600000,5.16000,
-0.00597520000,5.20000,
-0.00597440000,5.16000,
-0.00597360000,5.16000,
-0.00597280000,5.12000,
-0.00597200000,5.16000,
-0.00597120000,5.20000,
-0.00597040000,5.12000,
-0.00596960000,5.16000,
-0.00596880000,5.16000,
-0.00596800000,5.16000,
-0.00596720000,5.12000,
-0.00596640000,5.16000,
-0.00596560000,5.16000,
-0.00596480000,5.16000,
-0.00596400000,5.20000,
-0.00596320000,5.16000,
-0.00596240000,5.12000,
-0.00596160000,5.16000,
-0.00596080000,5.12000,
-0.00596000000,5.12000,
-0.00595920000,5.16000,
-0.00595840000,5.16000,
-0.00595760000,5.12000,
-0.00595680000,5.16000,
-0.00595600000,5.16000,
-0.00595520000,5.16000,
-0.00595440000,5.16000,
-0.00595360000,5.16000,
-0.00595280000,5.16000,
-0.00595200000,5.16000,
-0.00595120000,5.16000,
-0.00595040000,5.16000,
-0.00594960000,5.16000,
-0.00594880000,5.16000,
-0.00594800000,5.16000,
-0.00594720000,5.12000,
-0.00594640000,5.16000,
-0.00594560000,5.12000,
-0.00594480000,5.16000,
-0.00594400000,5.16000,
-0.00594320000,5.16000,
-0.00594240000,5.16000,
-0.00594160000,5.16000,
-0.00594080000,5.12000,
-0.00594000000,5.12000,
-0.00593920000,5.12000,
-0.00593840000,5.16000,
-0.00593760000,5.32000,
-0.00593680000,5.12000,
-0.00593600000,5.16000,
-0.00593520000,5.12000,
-0.00593440000,5.12000,
-0.00593360000,5.12000,
-0.00593280000,5.20000,
-0.00593200000,5.16000,
-0.00593120000,5.12000,
-0.00593040000,5.12000,
-0.00592960000,5.12000,
-0.00592880000,5.12000,
-0.00592800000,5.16000,
-0.00592720000,5.16000,
-0.00592640000,5.16000,
-0.00592560000,5.16000,
-0.00592480000,5.16000,
-0.00592400000,5.16000,
-0.00592320000,5.16000,
-0.00592240000,5.16000,
-0.00592160000,5.16000,
-0.00592080000,5.12000,
-0.00592000000,5.20000,
-0.00591920000,5.12000,
-0.00591840000,5.16000,
-0.00591760000,5.20000,
-0.00591680000,5.12000,
-0.00591600000,5.16000,
-0.00591520000,5.16000,
-0.00591440000,5.16000,
-0.00591360000,5.16000,
-0.00591280000,5.20000,
-0.00591200000,5.12000,
-0.00591120000,5.16000,
-0.00591040000,5.16000,
-0.00590960000,5.16000,
-0.00590880000,5.16000,
-0.00590800000,5.20000,
-0.00590720000,5.12000,
-0.00590640000,5.16000,
-0.00590560000,5.16000,
-0.00590480000,5.16000,
-0.00590400000,5.20000,
-0.00590320000,5.12000,
-0.00590240000,5.12000,
-0.00590160000,5.16000,
-0.00590080000,5.12000,
-0.00590000000,5.16000,
-0.00589920000,5.16000,
-0.00589840000,5.16000,
-0.00589760000,5.16000,
-0.00589680000,5.20000,
-0.00589600000,5.12000,
-0.00589520000,5.16000,
-0.00589440000,5.16000,
-0.00589360000,5.16000,
-0.00589280000,5.16000,
-0.00589200000,5.12000,
-0.00589120000,5.16000,
-0.00589040000,5.16000,
-0.00588960000,5.16000,
-0.00588880000,5.16000,
-0.00588800000,5.12000,
-0.00588720000,5.16000,
-0.00588640000,5.16000,
-0.00588560000,5.20000,
-0.00588480000,5.16000,
-0.00588400000,5.16000,
-0.00588320000,5.16000,
-0.00588240000,5.16000,
-0.00588160000,5.16000,
-0.00588080000,5.16000,
-0.00588000000,5.16000,
-0.00587920000,5.16000,
-0.00587840000,5.16000,
-0.00587760000,5.16000,
-0.00587680000,5.12000,
-0.00587600000,5.16000,
-0.00587520000,5.16000,
-0.00587440000,5.16000,
-0.00587360000,5.16000,
-0.00587280000,5.20000,
-0.00587200000,5.12000,
-0.00587120000,5.16000,
-0.00587040000,5.16000,
-0.00586960000,5.16000,
-0.00586880000,5.12000,
-0.00586800000,5.20000,
-0.00586720000,5.12000,
-0.00586640000,5.20000,
-0.00586560000,5.16000,
-0.00586480000,5.16000,
-0.00586400000,5.16000,
-0.00586320000,5.16000,
-0.00586240000,5.12000,
-0.00586160000,5.20000,
-0.00586080000,5.12000,
-0.00586000000,5.16000,
-0.00585920000,5.16000,
-0.00585840000,5.12000,
-0.00585760000,5.16000,
-0.00585680000,5.16000,
-0.00585600000,5.16000,
-0.00585520000,5.16000,
-0.00585440000,5.20000,
-0.00585360000,5.16000,
-0.00585280000,5.16000,
-0.00585200000,5.12000,
-0.00585120000,5.20000,
-0.00585040000,5.16000,
-0.00584960000,5.12000,
-0.00584880000,5.16000,
-0.00584800000,5.12000,
-0.00584720000,5.12000,
-0.00584640000,5.16000,
-0.00584560000,5.16000,
-0.00584480000,5.20000,
-0.00584400000,5.16000,
-0.00584320000,5.12000,
-0.00584240000,5.16000,
-0.00584160000,5.16000,
-0.00584080000,5.12000,
-0.00584000000,5.16000,
-0.00583920000,5.16000,
-0.00583840000,5.16000,
-0.00583760000,5.12000,
-0.00583680000,5.16000,
-0.00583600000,5.16000,
-0.00583520000,5.36000,
-0.00583440000,5.12000,
-0.00583360000,5.20000,
-0.00583280000,5.16000,
-0.00583200000,5.12000,
-0.00583120000,5.16000,
-0.00583040000,5.16000,
-0.00582960000,5.16000,
-0.00582880000,5.16000,
-0.00582800000,5.16000,
-0.00582720000,5.16000,
-0.00582640000,5.16000,
-0.00582560000,5.16000,
-0.00582480000,5.16000,
-0.00582400000,5.12000,
-0.00582320000,5.16000,
-0.00582240000,5.16000,
-0.00582160000,5.12000,
-0.00582080000,5.16000,
-0.00582000000,5.16000,
-0.00581920000,5.16000,
